name,MS-SSIM,PSNR,category,quality,size
00005_SD_low_pipeline_1.png,0.96102,37.1098,pipeline_1,low,SD
00005_SD_low_pipeline_2.png,0.949114,33.3825,pipeline_2,low,SD
00005_SD_low_pipeline_3.png,0.953725,35.1626,pipeline_3,low,SD
00005_SD_low_pipeline_4.png,0.945676,34.432,pipeline_4,low,SD
00005_SD_low_pipeline_5.png,0.981948,39.371,pipeline_5,low,SD
00005_SD_low_pipeline_6.png,0.945501,34.4583,pipeline_6,low,SD
00005_SD_medium_pipeline_1.png,0.967878,38.0844,pipeline_1,medium,SD
00005_SD_medium_pipeline_2.png,0.956483,34.2175,pipeline_2,medium,SD
00005_SD_medium_pipeline_3.png,0.982712,41.751,pipeline_3,medium,SD
00005_SD_medium_pipeline_4.png,0.95428,35.4046,pipeline_4,medium,SD
00005_SD_medium_pipeline_5.png,0.963201,35.7869,pipeline_5,medium,SD
00005_SD_medium_pipeline_6.png,0.95143,35.2061,pipeline_6,medium,SD
00006_1K_high_pipeline_1.png,0.979235,39.065,pipeline_1,high,1K
00006_1K_high_pipeline_2.png,0.981379,40.0353,pipeline_2,high,1K
00006_1K_high_pipeline_3.png,0.976762,38.265,pipeline_3,high,1K
00006_1K_high_pipeline_4.png,0.960935,36.1845,pipeline_4,high,1K
00006_1K_high_pipeline_5.png,0.973651,37.1778,pipeline_5,high,1K
00006_1K_high_pipeline_6.png,0.972347,37.8892,pipeline_6,high,1K
00006_1K_low_pipeline_1.png,0.956456,36.1448,pipeline_1,low,1K
00006_1K_low_pipeline_2.png,0.949127,33.8262,pipeline_2,low,1K
00006_1K_low_pipeline_3.png,0.953876,35.3463,pipeline_3,low,1K
00006_1K_low_pipeline_4.png,0.9504,34.7991,pipeline_4,low,1K
00006_1K_low_pipeline_5.png,0.956552,35.2728,pipeline_5,low,1K
00006_1K_low_pipeline_6.png,0.973229,40.4875,pipeline_6,low,1K
00006_1K_medium_pipeline_1.png,0.963933,37.0748,pipeline_1,medium,1K
00006_1K_medium_pipeline_2.png,0.955648,34.1537,pipeline_2,medium,1K
00006_1K_medium_pipeline_3.png,0.961601,36.5936,pipeline_3,medium,1K
00006_1K_medium_pipeline_4.png,0.979401,40.9966,pipeline_4,medium,1K
00006_1K_medium_pipeline_5.png,0.964653,36.1611,pipeline_5,medium,1K
00006_1K_medium_pipeline_6.png,0.951823,35.5644,pipeline_6,medium,1K
